,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,name,main_category,processed_dataset
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)",electronics,"redmi power ( power black , gb ram , gb storag )"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",electronics,"oneplu nord ce lite g ( blue tide , gb ram , gb storag )"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...",electronics,"oneplu bullet z bluetooth wireless ear earphon mic , bombast bass - . mm driver , min charg - hr ..."
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapte...",electronics,"samsung galaxi g ( mystiqu green , gb , gb storag ) | mah batteri | upto gb ram ram plu | travel adapt ..."
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",electronics,"oneplu nord ce lite g ( black dusk , gb ram , gb storag )"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)",electronics,"redmi power ( sporti orang , gb ram , gb storag )"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Ga...",electronics,"boat airdop bluetooth truli wireless ear earbud mic , h playtim , beast mode ( low latenc upto ms ) ga ..."
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",electronics,"appl w usb-c power adapt ( iphon , ipad & airpod )"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Ratin...",electronics,"fire-boltt ninja call pro plu . `` smart watch bluetooth call , ai voic assist , sport mode ip ratin ..."
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter...",electronics,"samsung galaxi g ( emerald brown , gb , gb storag ) | mah batteri | upto gb ram ram plu | travel adapt ..."
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"realme narzo 50A Prime (Flash Black, 4GB RAM+64GB Storage) Full High Definition+ Display |50MP AI Triple Camera| Charger I...",electronics,"realm narzo prime ( flash black , gb ram+gb storag ) full high definition+ display |mp ai tripl camera| charger ..."
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Andro...",electronics,"redmi ( light blue , gb ram , gb storag ) | segment best ai dual cam | mah batteri | leather textur design | andro ..."
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 8GB RAM, 128GB Storage)",electronics,"oneplu nord ce lite g ( blue tide , gb ram , gb storag )"
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,"boAt Airdopes Atom 81 True Wireless in Ear Earbuds with Upto 50H Playtime, Quad Mics ENx Tech, 13MM Drivers, Beast Mode(50...",electronics,"boat airdop atom true wireless ear earbud upto h playtim , quad mic enx tech , mm driver , beast mode ( ..."
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming,...",electronics,"boat airdop bluetooth truli wireless ear earbud h playtim , beast mode ( low latenc upto ms ) game , ..."
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),electronics,boat basshead in-ear wire headphon mic ( black )
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,"boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with mic, Upto 30 Hours Playtime, ASAP Charge, Signature Sound, Dual ...",electronics,"boat rockerz bluetooth wireless ear earphon mic , upto hour playtim , asap charg , signatur sound , dual ..."
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Lapster 5-in-1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller fo...,electronics,lapster -in- multi-funct laptop clean brush/keyboard clean kit/gadget clean kit gap duster key-cap puller fo ...
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69 HD Display with 550 NITS & 70%...",electronics,"boat wave call smart watch , smart talk advanc dedic bluetooth call chip , . hd display nit & % ..."
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...",electronics,"oneplu bullet z bluetooth wireless ear earphon mic , bombast bass - . mm driver , min charg - hr ..."
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,"boAt Airdopes 121v2 in-Ear True Wireless Earbuds with Upto 14 Hours Playback, 8MM Drivers, Battery Indicators, Lightweight...",electronics,"boat airdop v in-ear true wireless earbud upto hour playback , mm driver , batteri indic , lightweight ..."
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",electronics,"redmi ( black , gb ram , gb storag ) | segment best ai dual cam | mah batteri | leather textur design | android"
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,"Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | U...",electronics,"redmi ( charcoal black , gb ram , gb storag ) | ghz octa core helio g | mah batteri | finger print sensor | u ..."
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,"OnePlus 11R 5G (Galactic Silver, 16GB RAM, 256GB Storage)",electronics,"oneplu r g ( galact silver , gb ram , gb storag )"
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",electronics,"oneplu nord g ( jade fog , gb ram , gb storag )"
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,"OnePlus Nord Buds True Wireless in Ear Earbuds with Mic, 12.4mm Titanium Drivers, Playback:Up to 30hr case, 4-Mic Design +...",electronics,"oneplu nord bud true wireless ear earbud mic , .mm titanium driver , playback : hr case , -mic design + ..."
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)",electronics,"oneplu nord g ( gray shadow , gb ram , gb storag )"
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,"boAt Rockerz 255 Pro+ in-Ear Bluetooth Neckband with Upto 40 Hours Playback, ASAP Charge, IPX7, Dual Pairing, BT v5.0, wi...",electronics,"boat rockerz pro+ in-ear bluetooth neckband upto hour playback , asap charg , ipx , dual pair , bt v. , wi ..."
