,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tweets,processed_usertweets,predicted_sentiment
0,0,0,0,This Season's Trend: Bows,season 's trend : bow,ENTERTAINMENT
1,1,1,1,DROP A PIC OR PIC OR MAVIE WITHER WITHER WITH STYT STYT STYS: 🎬 MARGOT ROBBIE-SAYS IN'S UPON A TIME IN HOLYWOOOD ',drop pic pic mavi wither wither styt styt sti : margot robbie-say 's upon time holywoood ',ENTERTAINMENT
2,2,2,2,XFashion FILD TRIP TO DIOR'S CAROUSEL OF DREAMS AT SaKS ✨,xfashion fild trip dior 's carousel dream sak,ARTS & CULTURE
3,3,3,3,Aliax Earling MIU MIU MIU MIU MIU MIU MIU MIU MIR HER COVER AS NYLON'S DECEMBERER IT GIRL.Should Alix Join?!,aliax earl miu miu miu miu miu miu miu miu mir cover nylon 's december girl.should alix join ? !,WOMEN
4,4,4,4,Grok has entered the chat,grok enter chat,ARTS & CULTURE
5,5,5,5,Fashion Meme 2023 @victoriabeckham @netflix,fashion meme,ARTS & CULTURE
6,6,6,6,Chanel + Manchester = Chanchester! #CHANELMetiersdArt @BoF,chanel + manchest = chanchest !,SPORTS
7,7,7,7,It's Fashion Week in #GagCity,'s fashion week,WOMEN
8,8,8,8,SOME OF RUV FAV Recerent LOOKS FROM FROM WILL BE A YEAR-TAYLOR SWIFT,ruv fav recer look year-taylor swift,ARTS & CULTURE
9,9,9,9,"A$AP Rocky for Bottega Veneta: Raw, paparazzi-esque photos for this campaign. What do we think?","$ ap rocki bottega veneta : raw , paparazzi-esqu photo campaign . think ?",ARTS & CULTURE
